2020-05-04 10:49:55
Running ./build/bench
Run on (4 X 3300 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x2)
  L1 Instruction 32 KiB (x2)
  L2 Unified 256 KiB (x2)
  L3 Unified 4096 KiB (x1)
Load Average: 2.68, 2.93, 2.91
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"L2_ref_4/Dist",140723884,4.99874,4.65002,ns,,,,,
"L2_ref_4/Dist",140723884,5.36401,4.77241,ns,,,,,
"L2_ref_4/Dist",140723884,4.46444,4.41172,ns,,,,,
"L2_ref_4/Dist",140723884,4.71539,4.5916,ns,,,,,
"L2_ref_4/Dist",140723884,4.6192,4.57427,ns,,,,,
"L2_ref_4/Dist",140723884,4.74168,4.63243,ns,,,,,
"L2_ref_4/Dist",140723884,4.4938,4.47269,ns,,,,,
"L2_ref_4/Dist",140723884,4.58918,4.50035,ns,,,,,
"L2_ref_4/Dist",140723884,4.49193,4.48578,ns,,,,,
"L2_ref_4/Dist",140723884,4.51665,4.50354,ns,,,,,
"L2_ref_4/Dist",140723884,4.48937,4.48121,ns,,,,,
"L2_ref_4/Dist",140723884,4.80442,4.77524,ns,,,,,
"L2_ref_4/Dist",140723884,4.51009,4.49651,ns,,,,,
"L2_ref_4/Dist",140723884,4.50958,4.47368,ns,,,,,
"L2_ref_4/Dist",140723884,4.50031,4.49349,ns,,,,,
"L2_ref_4/Dist",140723884,4.49518,4.48963,ns,,,,,
"L2_ref_4/Dist",140723884,4.50027,4.4901,ns,,,,,
"L2_ref_4/Dist",140723884,4.59899,4.58069,ns,,,,,
"L2_ref_4/Dist",140723884,4.46469,4.45558,ns,,,,,
"L2_ref_4/Dist",140723884,4.5039,4.49459,ns,,,,,
"L2_ref_4/Dist_mean",20,4.61859,4.54128,ns,,,,,
"L2_ref_4/Dist_median",20,4.50983,4.49555,ns,,,,,
"L2_ref_4/Dist_stddev",20,0.223214,0.0995818,ns,,,,,
"L2_test_4/Dist",156004850,4.48437,4.47365,ns,,,,,
"L2_test_4/Dist",156004850,4.82888,4.62436,ns,,,,,
"L2_test_4/Dist",156004850,9.15196,6.45037,ns,,,,,
"L2_test_4/Dist",156004850,4.88315,4.63618,ns,,,,,
"L2_test_4/Dist",156004850,4.49403,4.44091,ns,,,,,
"L2_test_4/Dist",156004850,4.50597,4.46099,ns,,,,,
"L2_test_4/Dist",156004850,5.06528,4.72421,ns,,,,,
"L2_test_4/Dist",156004850,4.62673,4.48753,ns,,,,,
"L2_test_4/Dist",156004850,4.52443,4.46939,ns,,,,,
"L2_test_4/Dist",156004850,4.50639,4.47992,ns,,,,,
"L2_test_4/Dist",156004850,4.47177,4.45753,ns,,,,,
"L2_test_4/Dist",156004850,4.46627,4.42566,ns,,,,,
"L2_test_4/Dist",156004850,4.80087,4.74558,ns,,,,,
"L2_test_4/Dist",156004850,4.69355,4.64923,ns,,,,,
"L2_test_4/Dist",156004850,4.50477,4.45838,ns,,,,,
"L2_test_4/Dist",156004850,4.48262,4.44934,ns,,,,,
"L2_test_4/Dist",156004850,4.49125,4.4538,ns,,,,,
"L2_test_4/Dist",156004850,4.48586,4.47882,ns,,,,,
"L2_test_4/Dist",156004850,4.48531,4.47517,ns,,,,,
"L2_test_4/Dist",156004850,4.4782,4.46661,ns,,,,,
"L2_test_4/Dist_mean",20,4.82158,4.61538,ns,,,,,
"L2_test_4/Dist_median",20,4.50537,4.47441,ns,,,,,
"L2_test_4/Dist_stddev",20,1.03352,0.442938,ns,,,,,
"L2_ref_8/Dist",128277960,5.11512,5.10087,ns,,,,,
"L2_ref_8/Dist",128277960,5.09015,5.08256,ns,,,,,
"L2_ref_8/Dist",128277960,5.97263,5.50851,ns,,,,,
"L2_ref_8/Dist",128277960,7.79098,6.43642,ns,,,,,
"L2_ref_8/Dist",128277960,5.11136,5.06574,ns,,,,,
"L2_ref_8/Dist",128277960,5.14329,5.13246,ns,,,,,
"L2_ref_8/Dist",128277960,5.11337,5.09362,ns,,,,,
"L2_ref_8/Dist",128277960,5.1606,5.11892,ns,,,,,
"L2_ref_8/Dist",128277960,5.13473,5.11813,ns,,,,,
"L2_ref_8/Dist",128277960,5.08576,5.05514,ns,,,,,
"L2_ref_8/Dist",128277960,5.10987,5.04444,ns,,,,,
"L2_ref_8/Dist",128277960,5.11294,5.10273,ns,,,,,
"L2_ref_8/Dist",128277960,5.10415,5.09237,ns,,,,,
"L2_ref_8/Dist",128277960,5.10847,5.09738,ns,,,,,
"L2_ref_8/Dist",128277960,5.21495,5.18324,ns,,,,,
"L2_ref_8/Dist",128277960,5.45296,5.33244,ns,,,,,
"L2_ref_8/Dist",128277960,5.08548,5.07226,ns,,,,,
"L2_ref_8/Dist",128277960,5.08266,5.06738,ns,,,,,
"L2_ref_8/Dist",128277960,5.13754,5.09874,ns,,,,,
"L2_ref_8/Dist",128277960,5.12545,5.09413,ns,,,,,
"L2_ref_8/Dist_mean",20,5.31262,5.19487,ns,,,,,
"L2_ref_8/Dist_median",20,5.11425,5.09806,ns,,,,,
"L2_ref_8/Dist_stddev",20,0.617593,0.311544,ns,,,,,
"L2_test_8/Dist",119719514,5.35411,5.30119,ns,,,,,
"L2_test_8/Dist",119719514,5.3826,5.33028,ns,,,,,
"L2_test_8/Dist",119719514,5.37595,5.36644,ns,,,,,
"L2_test_8/Dist",119719514,5.32419,5.30923,ns,,,,,
"L2_test_8/Dist",119719514,5.19261,5.17991,ns,,,,,
"L2_test_8/Dist",119719514,5.15671,5.12833,ns,,,,,
"L2_test_8/Dist",119719514,5.21032,5.15579,ns,,,,,
"L2_test_8/Dist",119719514,5.68673,5.39544,ns,,,,,
"L2_test_8/Dist",119719514,5.34407,5.28184,ns,,,,,
"L2_test_8/Dist",119719514,5.18253,5.1573,ns,,,,,
"L2_test_8/Dist",119719514,5.11176,5.06394,ns,,,,,
"L2_test_8/Dist",119719514,5.35307,5.31357,ns,,,,,
"L2_test_8/Dist",119719514,5.08254,5.07105,ns,,,,,
"L2_test_8/Dist",119719514,5.15457,5.14432,ns,,,,,
"L2_test_8/Dist",119719514,5.17423,5.14895,ns,,,,,
"L2_test_8/Dist",119719514,5.16772,5.11812,ns,,,,,
"L2_test_8/Dist",119719514,5.12214,5.09457,ns,,,,,
"L2_test_8/Dist",119719514,5.31677,5.28138,ns,,,,,
"L2_test_8/Dist",119719514,5.16875,5.14447,ns,,,,,
"L2_test_8/Dist",119719514,5.62634,5.4806,ns,,,,,
"L2_test_8/Dist_mean",20,5.27439,5.22334,ns,,,,,
"L2_test_8/Dist_median",20,5.20146,5.16861,ns,,,,,
"L2_test_8/Dist_stddev",20,0.162875,0.119247,ns,,,,,
"L2_ref_24/Dist",91443501,7.19399,7.14615,ns,,,,,
"L2_ref_24/Dist",91443501,7.25626,7.22903,ns,,,,,
"L2_ref_24/Dist",91443501,7.51378,7.40989,ns,,,,,
"L2_ref_24/Dist",91443501,10.2108,9.43566,ns,,,,,
"L2_ref_24/Dist",91443501,9.32145,8.41828,ns,,,,,
"L2_ref_24/Dist",91443501,7.14916,7.13454,ns,,,,,
"L2_ref_24/Dist",91443501,7.1296,7.11184,ns,,,,,
"L2_ref_24/Dist",91443501,7.21581,7.11548,ns,,,,,
"L2_ref_24/Dist",91443501,7.17327,7.13497,ns,,,,,
"L2_ref_24/Dist",91443501,7.20597,7.188,ns,,,,,
"L2_ref_24/Dist",91443501,7.54937,7.5125,ns,,,,,
"L2_ref_24/Dist",91443501,7.22612,7.20612,ns,,,,,
"L2_ref_24/Dist",91443501,7.1639,7.14606,ns,,,,,
"L2_ref_24/Dist",91443501,7.17875,7.15451,ns,,,,,
"L2_ref_24/Dist",91443501,7.607,7.54346,ns,,,,,
"L2_ref_24/Dist",91443501,7.24745,7.20684,ns,,,,,
"L2_ref_24/Dist",91443501,7.98202,7.78371,ns,,,,,
"L2_ref_24/Dist",91443501,7.20358,7.16488,ns,,,,,
