name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"F16_ref_3/encode_mean",20,4.68021,4.62271,ns,,,,,
"F16_ref_3/encode_median",20,4.55177,4.54289,ns,,,,,
"F16_ref_3/encode_stddev",20,0.300792,0.178149,ns,,,,,
"F16_test_3/encode_mean",20,3.39965,3.39412,ns,,,,,
"F16_test_3/encode_median",20,3.38316,3.37852,ns,,,,,
"F16_test_3/encode_stddev",20,0.0710443,0.06607,ns,,,,,
"F16_ref_3/decode_mean",20,4.30938,4.30027,ns,,,,,
"F16_ref_3/decode_median",20,4.25804,4.24788,ns,,,,,
"F16_ref_3/decode_stddev",20,0.141262,0.135487,ns,,,,,
"F16_test_3/decode_mean",20,5.38861,5.37864,ns,,,,,
"F16_test_3/decode_median",20,5.3529,5.34722,ns,,,,,
"F16_test_3/decode_stddev",20,0.137719,0.128833,ns,,,,,
"F16_ref_4/encode_mean",20,2.56333,2.5591,ns,,,,,
"F16_ref_4/encode_median",20,2.53713,2.53459,ns,,,,,
"F16_ref_4/encode_stddev",20,0.0706353,0.0672031,ns,,,,,
"F16_test_4/encode_mean",20,2.6831,2.6742,ns,,,,,
"F16_test_4/encode_median",20,2.65822,2.64736,ns,,,,,
"F16_test_4/encode_stddev",20,0.0999381,0.0938677,ns,,,,,
"F16_ref_4/decode_mean",20,2.33877,2.33296,ns,,,,,
"F16_ref_4/decode_median",20,2.32135,2.319,ns,,,,,
"F16_ref_4/decode_stddev",20,0.0529678,0.0491219,ns,,,,,
"F16_test_4/decode_mean",20,2.2718,2.26828,ns,,,,,
"F16_test_4/decode_median",20,2.26114,2.25863,ns,,,,,
"F16_test_4/decode_stddev",20,0.0398287,0.0379785,ns,,,,,
"F16_ref_7/encode_mean",20,5.70076,5.68625,ns,,,,,
"F16_ref_7/encode_median",20,5.64146,5.63335,ns,,,,,
"F16_ref_7/encode_stddev",20,0.166893,0.149234,ns,,,,,
"F16_test_7/encode_mean",20,5.98524,5.97456,ns,,,,,
"F16_test_7/encode_median",20,5.92598,5.92025,ns,,,,,
"F16_test_7/encode_stddev",20,0.140454,0.131224,ns,,,,,
"F16_ref_7/decode_mean",20,5.12225,5.11557,ns,,,,,
"F16_ref_7/decode_median",20,5.0775,5.0721,ns,,,,,
"F16_ref_7/decode_stddev",20,0.115629,0.110639,ns,,,,,
"F16_test_7/decode_mean",20,6.51901,6.50683,ns,,,,,
"F16_test_7/decode_median",20,6.46319,6.45672,ns,,,,,
"F16_test_7/decode_stddev",20,0.150211,0.141859,ns,,,,,
"F16_ref_8/encode_mean",20,2.84745,2.84176,ns,,,,,
"F16_ref_8/encode_median",20,2.82173,2.81778,ns,,,,,
"F16_ref_8/encode_stddev",20,0.076214,0.0692406,ns,,,,,
"F16_test_8/encode_mean",20,2.83737,2.8331,ns,,,,,
"F16_test_8/encode_median",20,2.81921,2.81664,ns,,,,,
"F16_test_8/encode_stddev",20,0.060286,0.0559239,ns,,,,,
"F16_ref_8/decode_mean",20,2.56095,2.556,ns,,,,,
"F16_ref_8/decode_median",20,2.54341,2.54105,ns,,,,,
"F16_ref_8/decode_stddev",20,0.0526949,0.0453524,ns,,,,,
"F16_test_8/decode_mean",20,2.58726,2.57997,ns,,,,,
"F16_test_8/decode_median",20,2.56823,2.56483,ns,,,,,
"F16_test_8/decode_stddev",20,0.0697293,0.062715,ns,,,,,
"F16_ref_15/encode_mean",20,8.61786,8.60333,ns,,,,,
"F16_ref_15/encode_median",20,8.57345,8.56595,ns,,,,,
"F16_ref_15/encode_stddev",20,0.179516,0.16885,ns,,,,,
"F16_test_15/encode_mean",20,7.99353,7.98209,ns,,,,,
"F16_test_15/encode_median",20,7.92072,7.9135,ns,,,,,
"F16_test_15/encode_stddev",20,0.213203,0.203317,ns,,,,,
"F16_ref_15/decode_mean",20,8.03926,8.02327,ns,,,,,
"F16_ref_15/decode_median",20,7.92797,7.91833,ns,,,,,
"F16_ref_15/decode_stddev",20,0.291112,0.272892,ns,,,,,
"F16_test_15/decode_mean",20,9.12963,9.11205,ns,,,,,
"F16_test_15/decode_median",20,9.04066,9.0279,ns,,,,,
"F16_test_15/decode_stddev",20,0.224226,0.205454,ns,,,,,
"F16_ref_16/encode_mean",20,3.42861,3.42049,ns,,,,,
"F16_ref_16/encode_median",20,3.3911,3.38525,ns,,,,,
"F16_ref_16/encode_stddev",20,0.0828894,0.0775261,ns,,,,,
"F16_test_16/encode_mean",20,3.43407,3.42821,ns,,,,,
"F16_test_16/encode_median",20,3.3881,3.38451,ns,,,,,
"F16_test_16/encode_stddev",20,0.0908544,0.0865558,ns,,,,,
"F16_ref_16/decode_mean",20,2.86354,2.85754,ns,,,,,
"F16_ref_16/decode_median",20,2.83454,2.83187,ns,,,,,
"F16_ref_16/decode_stddev",20,0.0790989,0.0750499,ns,,,,,
