name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"l2_test_4/Dist_mean",20,6.29189,6.26011,ns,,,,,
"l2_test_4/Dist_median",20,6.24303,6.23,ns,,,,,
"l2_test_4/Dist_stddev",20,0.145158,0.118104,ns,,,,,
"l2_ref_4/Dist_mean",20,6.24231,6.22669,ns,,,,,
"l2_ref_4/Dist_median",20,6.21828,6.20659,ns,,,,,
"l2_ref_4/Dist_stddev",20,0.111198,0.106713,ns,,,,,
"l2_test_8/Dist_mean",20,6.29586,6.2772,ns,,,,,
"l2_test_8/Dist_median",20,6.24121,6.23096,ns,,,,,
"l2_test_8/Dist_stddev",20,0.19988,0.173381,ns,,,,,
"l2_ref_8/Dist_mean",20,6.28482,6.26371,ns,,,,,
"l2_ref_8/Dist_median",20,6.27414,6.25172,ns,,,,,
"l2_ref_8/Dist_stddev",20,0.0489936,0.0449919,ns,,,,,
"l2_test_12/Dist_mean",20,6.6699,6.64848,ns,,,,,
"l2_test_12/Dist_median",20,6.61398,6.60619,ns,,,,,
"l2_test_12/Dist_stddev",20,0.143383,0.132356,ns,,,,,
"l2_ref_12/Dist_mean",20,7.47411,7.42773,ns,,,,,
"l2_ref_12/Dist_median",20,7.37645,7.35913,ns,,,,,
"l2_ref_12/Dist_stddev",20,0.334472,0.259887,ns,,,,,
"l2_test_16/Dist_mean",20,6.17803,6.16212,ns,,,,,
"l2_test_16/Dist_median",20,6.134,6.1198,ns,,,,,
"l2_test_16/Dist_stddev",20,0.133563,0.127574,ns,,,,,
"l2_ref_16/Dist_mean",20,6.20571,6.1761,ns,,,,,
"l2_ref_16/Dist_median",20,6.19073,6.17125,ns,,,,,
"l2_ref_16/Dist_stddev",20,0.140984,0.119652,ns,,,,,
"l2_test_32/Dist_mean",20,7.57273,7.5365,ns,,,,,
"l2_test_32/Dist_median",20,7.53022,7.50862,ns,,,,,
"l2_test_32/Dist_stddev",20,0.22702,0.21747,ns,,,,,
"l2_ref_32/Dist_mean",20,8.5443,8.52418,ns,,,,,
"l2_ref_32/Dist_median",20,8.55656,8.54216,ns,,,,,
"l2_ref_32/Dist_stddev",20,0.203495,0.198315,ns,,,,,
"l2_test_48/Dist_mean",20,8.54875,8.52283,ns,,,,,
"l2_test_48/Dist_median",20,8.58561,8.55582,ns,,,,,
"l2_test_48/Dist_stddev",20,0.127996,0.132004,ns,,,,,
"l2_ref_48/Dist_mean",20,8.8742,8.85355,ns,,,,,
"l2_ref_48/Dist_median",20,8.84295,8.82932,ns,,,,,
"l2_ref_48/Dist_stddev",20,0.225977,0.215919,ns,,,,,
"l2_test_64/Dist_mean",20,10.552,10.5161,ns,,,,,
"l2_test_64/Dist_median",20,10.5631,10.5513,ns,,,,,
"l2_test_64/Dist_stddev",20,0.319335,0.29956,ns,,,,,
"l2_ref_64/Dist_mean",20,10.5849,10.5145,ns,,,,,
"l2_ref_64/Dist_median",20,10.3313,10.2759,ns,,,,,
"l2_ref_64/Dist_stddev",20,0.570282,0.512212,ns,,,,,
"l2_test_80/Dist_mean",20,13.0622,13.0362,ns,,,,,
"l2_test_80/Dist_median",20,13.1234,13.0786,ns,,,,,
"l2_test_80/Dist_stddev",20,0.23701,0.231406,ns,,,,,
"l2_ref_80/Dist_mean",20,12.8498,12.8188,ns,,,,,
"l2_ref_80/Dist_median",20,13.0694,13.0446,ns,,,,,
"l2_ref_80/Dist_stddev",20,0.432724,0.429639,ns,,,,,
"l2_test_96/Dist_mean",20,15.5242,15.4752,ns,,,,,
"l2_test_96/Dist_median",20,15.8222,15.7637,ns,,,,,
"l2_test_96/Dist_stddev",20,0.680732,0.668558,ns,,,,,
"l2_ref_96/Dist_mean",20,15.3233,15.2672,ns,,,,,
"l2_ref_96/Dist_median",20,15.5483,15.5329,ns,,,,,
"l2_ref_96/Dist_stddev",20,0.632513,0.624647,ns,,,,,
"l2_test_100/Dist_mean",20,15.8498,15.7874,ns,,,,,
"l2_test_100/Dist_median",20,15.7852,15.7422,ns,,,,,
"l2_test_100/Dist_stddev",20,0.256319,0.186993,ns,,,,,
"l2_ref_100/Dist_mean",20,15.7194,15.679,ns,,,,,
"l2_ref_100/Dist_median",20,15.683,15.6464,ns,,,,,
"l2_ref_100/Dist_stddev",20,0.308519,0.277747,ns,,,,,
"l2_test_101/Dist_mean",20,19.7299,19.6605,ns,,,,,
"l2_test_101/Dist_median",20,19.5531,19.5106,ns,,,,,
"l2_test_101/Dist_stddev",20,0.797283,0.771629,ns,,,,,
"l2_ref_101/Dist_mean",20,102.18,101.828,ns,,,,,
"l2_ref_101/Dist_median",20,101.568,101.426,ns,,,,,
"l2_ref_101/Dist_stddev",20,2.05606,1.59791,ns,,,,,
"l2_test_112/Dist_mean",20,16.6317,16.5753,ns,,,,,
"l2_test_112/Dist_median",20,17.3989,17.3681,ns,,,,,
"l2_test_112/Dist_stddev",20,1.30232,1.29072,ns,,,,,
